RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,WEBSITE,PROFIT
332,NEWS CORP.,1211 AVENUE OF THE AMERICAS,NOT AVAILABLE,NEW YORK,NY,10036,NEW YORK,24000,8319,40.75867,-73.9824,HTTPS://NEWSCORP.COM/,179
101,TWENTY-FIRST CENTURY FOX,1211 AVENUE OF THE AMERICAS,NOT AVAILABLE,NEW YORK,NY,10036,NEW YORK,21500,27326,40.75867,-73.9824,HTTPS://WWW.21CF.COM/,2755
224,VIACOM,1515 BROADWAY,NOT AVAILABLE,NEW YORK,NY,10036,NEW YORK,9650,12488,40.75793,-73.98644,HTTP://WWW.VIACOM.COM/,1438
55,AIG,175 WATER STREET,NOT AVAILABLE,NEW YORK,NY,10038,NEW YORK,56400,52367,40.70636,-74.00513,HTTP://WWW.AIG.COM/,-849
475,AMTRUST FINANCIAL SERVICES,59 MAIDEN LANE,NOT AVAILABLE,NEW YORK,NY,10038,NEW YORK,8000,5451,40.70862,-74.00797,HTTPS://AMTRUSTFINANCIAL.COM/,411
255,BLACKROCK,55 EAST 52ND STREET,NOT AVAILABLE,NEW YORK,NY,10055,NEW YORK,13000,11155,40.75875,-73.97356,HTTPS://WWW.BLACKROCK.COM/CORPORATE,3172
213,LOEWS,667 MADISON AVENUE,NOT AVAILABLE,NEW YORK,NY,10065,NEW YORK,15800,13105,40.76459,-73.97049,HTTPS://LOEWS.COM/,654
348,FOOT LOCKER,112 WEST 34TH STREET,NOT AVAILABLE,NEW YORK,NY,10120,NEW YORK,32965,7766,40.75,-73.98866,HTTPS://WWW.FOOTLOCKER.COM/,664
253,ESTEE LAUDER,767 5TH AVENUE,NOT AVAILABLE,NEW YORK,NY,10153,NEW YORK,46000,11262,40.76391,-73.972322,HTTPS://WWW.ESTEELAUDER.COM/,1114.6
168,ICAHN ENTERPRISES,767 5TH AVENUE,SUITE 4700,NEW YORK,NY,10153,NEW YORK,90980,16348,40.76405,-73.97311,HTTP://WWW.IELP.COM/HOME,-1128
147,BRISTOL-MYERS SQUIBB,345 PARK AVENUE,NOT AVAILABLE,NEW YORK,NY,10154,NEW YORK,25000,19427,40.75775,-73.97242,HTTPS://WWW.BMS.COM/,4457
78,GOLDMAN SACHS GROUP,200 WEST STREET,NOT AVAILABLE,NEW YORK,NY,10282,NEW YORK,34400,37712,40.71473,-74.01444,HTTP://WWW.GOLDMANSACHS.COM/,7398
86,AMERICAN EXPRESS,200 VESEY STREET,NOT AVAILABLE,NEW YORK,NY,10285,NEW YORK,56400,33823,40.71392,-74.01469,HTTPS://WWW.AMERICANEXPRESS.COM/,5408
177,BANK OF NEW YORK MELLON CORP.,225 LIBERTY STREET,NOT AVAILABLE,NEW YORK,NY,10286,NEW YORK,52000,15683,40.71281,-74.015409,HTTPS://WWW.BNYMELLON.COM/US/EN,3547
380,HUNTINGTON INGALLS INDUSTRIES,4101 WASHINGTON AVENUE,NOT AVAILABLE,NEWPORT NEWS,VA,23607,NEWPORT NEWS (CITY),37000,7068,36.98823,-76.43717,HTTP://WWW.HUNTINGTONINGALLS.COM/,573
284,NORFOLK SOUTHERN,3 COMMERCIAL PLACE,NOT AVAILABLE,NORFOLK,VA,23510,NORFOLK (CITY),27856,9888,36.84548,-76.28802,HTTP://WWW.NSCORP.COM/CONTENT/NSCORP/EN.HTML,1668
151,LEAR,21557 TELEGRAPH ROAD,NOT AVAILABLE,SOUTHFIELD,MI,48033,OAKLAND,148400,18558,42.45125,-83.28132,HTTP://WWW.LEAR.COM/,975.1
490,KELLY SERVICES,999 WEST BIG BEAVER ROAD,NOT AVAILABLE,TROY,MI,48084,OAKLAND,7500,5277,42.56084,-83.16604,HTTPS://WWW.KELLYSERVICES.US/US/,120.8
142,PENSKE AUTOMOTIVE GROUP,2555 TELEGRAPH ROAD,NOT AVAILABLE,BLOOMFIELD HILLS,MI,48302,OAKLAND,24000,20143,42.60254,-83.28796,HTTP://WWW.PENSKEAUTOMOTIVE.COM/,342.9
353,PULTEGROUP,3350 PEACHTREE ROAD NORTHEAST,NOT AVAILABLE,ATLANTA,GA,30326,FULTON,4623,7669,33.847682,-84.368186,HTTP://WWW.PULTEGROUPINC.COM/,602.7
283,AUTOLIV,1320 PACIFIC DRIVE,NOT AVAILABLE,AUBURN HILLS,MI,48326,OAKLAND,65900,10074,42.6942,-83.27407,HTTPS://WWW.AUTOLIV.COM/,567.1
305,BORGWARNER,3850 HAMLIN ROAD,NOT AVAILABLE,AUBURN HILLS,MI,48326,OAKLAND,27000,9071,42.64544,-83.21182,HTTPS://WWW.BORGWARNER.COM/HOME,118.5
231,DEVON ENERGY,333 WEST SHERIDAN AVENUE,NOT AVAILABLE,OKLAHOMA CITY,OK,73102,OKLAHOMA,3545,12197,35.46728,-97.51843,HTTP://WWW.DEVONENERGY.COM/,-3302
343,CHESAPEAKE ENERGY,6100 NORTH WESTERN AVENUE,NOT AVAILABLE,OKLAHOMA CITY,OK,73118,OKLAHOMA,3300,7872,35.53367,-97.52924,HTTP://WWW.CHK.COM/,-4401
263,ENTERGY,639 LOYOLA AVENUE,NOT AVAILABLE,NEW ORLEANS,LA,70113,OLREANS,13513,10846,29.94917,-90.07648,HTTP://WWW.ENTERGY.COM/,-583.6
464,FIRST AMERICAN FINANCIAL,1 1ST AMERICAN WAY,NOT AVAILABLE,SANTA ANA,CA,92707,ORANGE,19531,5576,33.7022,-117.85977,HTTP://WWW.FIRSTAM.COM/,343
385,DARDEN RESTAURANTS,1000 DARDEN CENTER DRIVE,NOT AVAILABLE,ORLANDO,FL,32837,ORANGE,150942,6934,28.41777,-81.42347,HTTPS://WWW.DARDEN.COM/,375
217,WESTERN DIGITAL,3355 MICHAELSON DRIVE,SUITE 100,IRVINE,CA,92612,ORANGE,72878,12994,33.6705,-117.84007,HTTPS://WWW.WDC.COM/,242
160,CENTURYLINK,100 CENTURYLINK DRIVE,NOT AVAILABLE,MONROE,LA,71203,OUACHITA,40000,17470,32.58997,-92.06862,HTTPS://WWW.CENTURYLINK.COM/,626
170,NEXTERA ENERGY,700 UNIVERSE BOULEVARD,NOT AVAILABLE,JUNO BEACH,FL,33408,PALM BEACH,14700,16155,26.85979,-80.05985,HTTP://WWW.NEXTERAENERGY.COM/,2912
203,OFFICE DEPOT,6600 NORTH MILITARY TRAIL,NOT AVAILABLE,BOCA RATON,FL,33496,PALM BEACH,38000,13585,26.40427,-80.12051,HTTPS://WWW.OFFICEDEPOT.COM/,529
244,"TOYS ""R"" US",1 GEOFFREY WAY,NOT AVAILABLE,WAYNE,NJ,7470,PASSAIC,64000,11540,40.98003,-74.25564,HTTPS://WWW.TOYSRUS.COM/,-36
74,CATERPILLAR,100 NE ADAMS STREET,NOT AVAILABLE,PEORIA,IL,61629,PEORIA,95400,38537,40.69173,-89.58841,HTTPS://WWW.CATERPILLAR.COM/EN.HTML,-67
395,A-MARK PRECIOUS METALS,1101 MARKET STREET,NOT AVAILABLE,PHILADELPHIA,PA,19107,PHILADELPHIA,83000,6784,39.95213,-75.15845,HTTPS://WWW.AMARK.COM/,9.3
192,ARAMARK,1101 MARKET STREET,NOT AVAILABLE,PHILADELPHIA,PA,19107,PHILADELPHIA,217250,14416,39.95213,-75.15845,HTTPS://WWW.ARAMARK.COM/,287.8
